COD_IBGE;MUNICIPIO;COD_REGIAO_COVID;REGIAO_COVID;BAIRRO;QUANTIDADE_CASOS
430060;ALVORADA;7;PORTO ALEGRE - R10;'PIRATINI;1
430060;ALVORADA;7;PORTO ALEGRE - R10;'PORTO VERDE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;-;11
430060;ALVORADA;7;PORTO ALEGRE - R10;0;2
430060;ALVORADA;7;PORTO ALEGRE - R10;00000000;1
430060;ALVORADA;7;PORTO ALEGRE - R10;000000000000000000;1
430060;ALVORADA;7;PORTO ALEGRE - R10;102;1
430060;ALVORADA;7;PORTO ALEGRE - R10;11 ABRIL;1
430060;ALVORADA;7;PORTO ALEGRE - R10;11 DE  ABRIL;1
430060;ALVORADA;7;PORTO ALEGRE - R10;11 DE ABRIL;105
430060;ALVORADA;7;PORTO ALEGRE - R10;11 DE ABRIUL;1
430060;ALVORADA;7;PORTO ALEGRE - R10;11 DE ARIL;1
430060;ALVORADA;7;PORTO ALEGRE - R10;11DE ABRIL;1
430060;ALVORADA;7;PORTO ALEGRE - R10;2 FIGUEIRAS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;3 FIGUEIRAS;4
430060;ALVORADA;7;PORTO ALEGRE - R10;500;1
430060;ALVORADA;7;PORTO ALEGRE - R10;945;1
430060;ALVORADA;7;PORTO ALEGRE - R10;A ERICANA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;A'PARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;A?ARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;AA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;AAPARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ABERTA DOS MORROS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ACMPOS VERDES;1
430060;ALVORADA;7;PORTO ALEGRE - R10;AGLITER;1
430060;ALVORADA;7;PORTO ALEGRE - R10;AGLITTER;1
430060;ALVORADA;7;PORTO ALEGRE - R10;AGRITER;14
430060;ALVORADA;7;PORTO ALEGRE - R10;AGRONOMIA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;AGUA VIVA;15
430060;ALVORADA;7;PORTO ALEGRE - R10;ALGARV E;1
